"HBCJHM","HBZQDM","HBHTXH","HBGDDM","HBCJSL","HBCJJG","HBDFXW","HBDFGD","HBCJSJ","HBCJRQ","HBYWLB","HBCDYY","HBMARK","HBBYBZ"
"00223189","000869","0694002008102200000001","0899043679",700,43.55,"","","09315767","2009/3/17","0B","","",""
"00253237","000869","0694002008102200000001","0899043679",100,43.55,"","","09323737","2009/3/17","0B","","",""
"00338653","000869","0694002008102200000008","0899043679",100,43.55,"","","09342245","2009/3/17","0B","","",""
"00387744","000869","0694002008102200000008","0899043679",500,43.55,"","","09352701","2009/3/17","0B","","",""
"00419502","000869","0694002008102200000008","0899043679",100,43.55,"","","09361014","2009/3/17","0B","","",""
"00431439","000869","0694002008102200000015","0899043679",500,43.55,"","","09362648","2009/3/17","0B","","",""
"00436036","000869","0694002008102200000015","0899043679",100,43.55,"","","09363309","2009/3/17","0B","","",""
"00542995","000869","0694002008102200000025","0899043679",100,43.55,"","","09391625","2009/3/17","0B","","",""
"00558581","000869","0694002008102200000025","0899043679",200,43.55,"","","09394032","2009/3/17","0B","","",""
"00564837","000869","0694002008102200000027","0899043679",500,43.55,"","","09394975","2009/3/17","0B","","",""
"00576264","000869","0694002008102200000027","0899043679",100,43.55,"","","09400649","2009/3/17","0B","","",""
"00681503","000869","0694002008102200000035","0899043679",100,43.55,"","","09423165","2009/3/17","0B","","",""
"00705899","000869","0694002008102200000035","0899043679",200,43.55,"","","09430325","2009/3/17","0B","","",""
"00727120","000869","0694002008102200000038","0899043679",100,43.55,"","","09433121","2009/3/17","0B","","",""
"00727121","000869","0694002008102200000038","0899043679",100,43.55,"","","09433121","2009/3/17","0B","","",""
"00727122","000869","0694002008102200000038","0899043679",100,43.55,"","","09433121","2009/3/17","0B","","",""
"00765371","000869","0694002008102200000041","0899043679",100,43.55,"","","09442497","2009/3/17","0B","","",""
"00766628","000869","0694002008102200000041","0899043679",100,43.55,"","","09442684","2009/3/17","0B","","",""
"00795253","000869","0694002008102200000041","0899043679",300,43.55,"","","09451020","2009/3/17","0B","","",""
"00798395","000869","0694002008102200000041","0899043679",200,43.55,"","","09451519","2009/3/17","0B","","",""
"00800272","000869","0694002008102200000041","0899043679",800,43.55,"","","09451833","2009/3/17","0B","","",""
"00808221","000869","0694002008102200000041","0899043679",100,43.55,"","","09453093","2009/3/17","0B","","",""
"00958051","000869","0694002008102200000048","0899043679",100,43.55,"","","09501263","2009/3/17","0B","","",""
"00974570","000869","0694002008102200000048","0899043679",100,43.55,"","","09504775","2009/3/17","0B","","",""
"01025574","000869","0694002008102200000048","0899043679",300,43.55,"","","09522790","2009/3/17","0B","","",""
"01036230","000869","0694002008102200000048","0899043679",100,43.55,"","","09524649","2009/3/17","0B","","",""
"01044105","000869","0694002008102200000048","0899043679",200,43.55,"","","09525942","2009/3/17","0B","","",""
"01063828","000869","0694002008102200000048","0899043679",100,43.55,"","","09533030","2009/3/17","0B","","",""
"01074853","000869","0694002008102200000041","0899043679",300,43.55,"","","09534817","2009/3/17","0B","","",""
"01089094","000869","0694002008102200000041","0899043679",100,43.55,"","","09541057","2009/3/17","0B","","",""
"01100018","000869","0694002008102200000038","0899043679",100,43.55,"","","09542834","2009/3/17","0B","","",""
"01101203","000869","0694002008102200000038","0899043679",100,43.55,"","","09543044","2009/3/17","0B","","",""
"01103539","000869","0694002008102200000038","0899043679",100,43.55,"","","09543414","2009/3/17","0B","","",""
"01109764","000869","0694002008102200000038","0899043679",100,43.55,"","","09544406","2009/3/17","0B","","",""
"01129095","000869","0694002008102200000038","0899043679",200,43.55,"","","09551620","2009/3/17","0B","","",""
"01130090","000911","0694002008102200000029","0899043679",12000,12.81,"","","09551781","2009/3/17","0B","","",""
"01130091","000911","0694002008102200000032","0899043679",8000,12.81,"","","09551781","2009/3/17","0B","","",""
"01132178","000869","0694002008102200000038","0899043679",100,43.55,"","","09552144","2009/3/17","0B","","",""
"01139865","000911","0694002008102200000030","0899043679",1000,12.81,"","","09553460","2009/3/17","0B","","",""
"01139866","000911","0694002008102200000030","0899043679",1000,12.81,"","","09553460","2009/3/17","0B","","",""
"01142572","000911","0694002008102200000030","0899043679",400,12.81,"","","09553905","2009/3/17","0B","","",""
"01147699","000911","0694002008102200000030","0899043679",1000,12.81,"","","09554797","2009/3/17","0B","","",""
"01149447","000911","0694002008102200000030","0899043679",1600,12.81,"","","09555104","2009/3/17","0B","","",""
"01149452","000911","0694002008102200000031","0899043679",5000,12.81,"","","09555104","2009/3/17","0B","","",""
"01157588","000911","0694002008102200000064","0899043679",400,12.81,"","","09560521","2009/3/17","0B","","",""
"01157589","000911","0694002008102200000064","0899043679",100,12.81,"","","09560521","2009/3/17","0B","","",""
"01157590","000911","0694002008102200000064","0899043679",1199,12.81,"","","09560521","2009/3/17","0B","","",""
