"HQZQDM","HQZQJC","HQZRSP","HQJRKP","HQZJCJ","HQCJSL","HQCJJE","HQCJBS","HQZGCJ","HQZDCJ","HQSYL1","HQSYL2","HQJSD1","HQJSD2","HQHYCC","HQSJW5","HQSSL5","HQSJW4","HQSSL4","HQSJW3","HQSSL3","HQSJW2","HQSSL2","HQSJW1","HQSSL1","HQBJW1","HQBSL1","HQBJW2","HQBSL2","HQBJW3","HQBSL3","HQBJW4","HQBSL4","HQBJW5","HQBSL5"
"000000","20090317",1,0,0,1,0,153132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12520014,0,15305757
"000001","深发展Ａ",15.25,15.15,15.89,66010095,1034028310.46,35098,16.05,15.04,16.31,0,0.64,0,0,15.94,67381,15.93,184794,15.92,36090,15.91,5750,15.9,385628,15.89,154083,15.88,53800,15.87,40500,15.86,70900,15.85,190250
"000002","万  科Ａ",7.89,7.9,8.36,299657563,2459909297.48,140246,8.45,7.87,22.59,0,0.47,0,0,8.4,2384316,8.39,702859,8.38,661109,8.37,619678,8.36,554386,8.35,858300,8.34,52700,8.33,263931,8.32,468900,8.31,478128
"000004","ST 国 农",5.44,5.4,5.51,1767683,9657147.33,1316,5.54,5.31,0,0,0.07,0.01,0,5.56,1800,5.55,12000,5.54,25500,5.53,5381,5.52,17700,5.51,22800,5.5,25000,5.49,7348,5.48,17700,5.47,9100
"000005","世纪星源",3.23,3.23,3.35,24957058,82433247.15,12305,3.39,3.19,41.88,0,0.12,0.01,0,3.4,992676,3.39,700734,3.38,533177,3.37,169974,3.36,206800,3.35,424500,3.34,325700,3.33,149502,3.32,168200,3.31,53600
"000006","深振业Ａ",7.96,7.98,8.76,28331420,240060747.64,14362,8.76,7.96,17.24,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,8.76,3349507,8.75,4000,8.74,500,8.73,3400,8.72,3100
"000007","ST 达 声",4.13,4.11,4.24,2753347,11594025.27,1514,4.27,4.08,67.3,0,0.11,0,0,4.29,105800,4.28,87900,4.27,36450,4.26,125630,4.25,36400,4.24,16600,4.23,113400,4.22,37900,4.21,22600,4.2,33500
"000008","ST宝利来",6.33,6.42,6.55,887882,5751842.32,525,6.57,6.26,655,0,0.22,0.03,0,6.6,36700,6.59,6000,6.58,6800,6.57,11511,6.56,8900,6.55,31600,6.54,200,6.52,2200,6.51,1183,6.45,1100
"000009","中国宝安",8.23,8.21,8.6,35137076,297917442.6,22380,8.7,8.12,38.74,0,0.37,0.01,0,8.64,26850,8.63,31500,8.62,74090,8.61,22700,8.6,860973,8.59,383635,8.58,60300,8.57,33600,8.56,40200,8.55,23200
"000010","S ST华新",6.91,6.93,7.26,1342362,9657408.02,657,7.26,6.91,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,7.26,1125646,7.22,2300,7.15,400,7.13,1600,7.12,500
"000011","S*ST物业",5.45,5.45,5.72,1367989,7714930.65,610,5.72,5.36,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,5.72,508681,5.7,10899,5.68,10000,5.67,200,5.66,1000
"000012","南  玻Ａ",10.94,10.9,11.5,16655698,187057610.95,10914,11.5,10.74,28.33,0,0.56,0.01,0,11.55,43599,11.54,28900,11.53,67300,11.52,25700,11.51,34900,11.5,251900,11.49,100900,11.48,41300,11.47,9498,11.46,56400
"000014","沙河股份",8.76,8.79,9.63,8456362,78874724.21,5254,9.64,8.71,1070,0,0.87,0,0,0,0,0,0,0,0,9.64,49846,9.63,11250,9.62,10500,9.61,1300,9.6,3700,9.54,1000,9.51,1702
"000016","深康佳Ａ",4.72,4.72,4.93,15079195,73244199.23,6038,5,4.68,28.33,0,0.21,0,0,4.98,116350,4.97,28400,4.96,35500,4.95,82700,4.94,29700,4.93,13000,4.92,78602,4.91,40600,4.9,44700,4.89,1700
"000017","S ST中华",3.49,0,0,0,0,0,0,99999.999,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"000018","ST中冠Ａ",5.2,5.18,5.3,896777,4726832.23,338,5.33,5.07,0,0,0.1,0.06,0,5.35,12900,5.33,2899,5.32,26400,5.31,1000,5.3,15252,5.24,3299,5.23,16000,5.22,110201,5.21,4523,5.2,9000
"000019","深深宝Ａ",6.62,6.62,6.85,2916180,19728335.84,1933,6.93,6.58,28.54,0,0.23,0.03,0,6.9,31776,6.89,23899,6.88,15900,6.87,2300,6.86,2600,6.85,17185,6.83,41100,6.82,18293,6.81,12591,6.8,52100
"000020","ST华发Ａ",3.55,3.52,3.65,2403328,8741650.04,1185,3.69,3.52,40.56,0,0.1,-0.01,0,3.7,77200,3.69,10276,3.68,90300,3.67,36000,3.66,14500,3.65,35640,3.64,17300,3.63,10800,3.62,15700,3.61,48600
"000021","长城开发",6.55,6.58,6.82,14123750,94686102.43,8121,6.88,6.44,8.86,0,0.27,0,0,6.87,34690,6.86,49000,6.85,77100,6.84,29800,6.83,129700,6.82,12400,6.81,10300,6.8,50700,6.79,54788,6.78,42000
"000022","深赤湾Ａ",10.7,10.72,11.02,4147318,45123024.69,3248,11.07,10.6,11.15,0,0.32,0,0,11.07,31800,11.06,11000,11.05,12100,11.04,11100,11.03,12100,11.02,19100,11.01,26000,11,136842,10.99,6000,10.98,3600
"000023","深天地Ａ",6.07,6.08,6.17,10678998,65076351.45,7842,6.29,5.83,43.45,0,0.1,0,0,6.22,14606,6.21,35198,6.2,71300,6.19,6100,6.18,45400,6.17,36001,6.16,20100,6.15,11200,6.14,9100,6.13,11600
"000024","招商地产",19.7,19.75,20.75,19801183,405027196.69,7349,21.05,19.75,30.79,0,1.05,0.15,0,20.84,5100,20.83,19700,20.82,100,20.8,3000,20.76,200,20.75,30450,20.7,2000,20.68,29000,20.67,600,20.66,26700
"000025","特  力Ａ",4.85,4.9,5.13,3692448,18500416.72,2143,5.14,4.85,104.69,0,0.28,0.05,0,5.17,500,5.16,13200,5.15,198660,5.14,21600,5.13,10940,5.1,10100,5.09,7600,5.08,12550,5.07,600,5.06,2200
"000026","飞亚达Ａ",7.3,7.39,7.52,4725434,35016934.21,3193,7.65,7.18,31.2,0,0.22,0,0,7.56,12200,7.55,14099,7.54,30200,7.53,9300,7.52,100,7.51,25900,7.5,16800,7.49,3100,7.48,4700,7.47,300
"000027","深圳能源",10.9,10.91,11.17,9059983,100188439.53,6264,11.18,10.76,14.7,0,0.27,0.01,0,11.22,20200,11.21,5900,11.2,166046,11.19,90100,11.18,118604,11.17,36638,11.16,22800,11.15,4500,11.14,19520,11.13,13742
"000028","一致药业",17.86,18.08,18.2,1682556,30234155.52,1599,18.2,17.78,41.94,0,0.34,0,0,18.25,2100,18.23,2500,18.22,3500,18.21,5700,18.2,11140,18.19,23100,18.18,5100,18.17,2900,18.16,14800,18.15,1100
"000029","深深房Ａ",3.44,3.51,3.74,23013817,83603782.92,14137,3.78,3.5,128.97,0,0.3,0.01,0,3.78,1721377,3.77,288149,3.76,138150,3.75,154500,3.74,159434,3.73,134400,3.72,109600,3.71,66000,3.7,107600,3.69,75301
"000030","ST盛润Ａ",3.09,3.07,3.23,5206012,16739660.13,2133,3.24,3.07,0,0,0.14,0,0,0,0,0,0,0,0,3.24,62867,3.23,58951,3.22,199500,3.21,35200,3.2,51000,3.19,19201,3.18,22900
"000031","中粮地产",6.8,6.85,7.14,64245948,452548740.34,34791,7.25,6.8,23.49,0,0.34,0,0,7.19,54453,7.18,98650,7.17,80793,7.16,96000,7.15,190990,7.14,456842,7.13,183505,7.12,145084,7.11,127100,7.1,420100
